# Simulation 1 (Up to date)
# 795 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27.8 m/s):  "Iris Ultra Parachute [Cd 2.2 (10.9 oz) 60.0 in^3]"
#
# Time (s),Altitude (m),Vertical velocity (m/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
8.471,989.157,117.152
8.521,994.997,116.462
8.571,1000.803,115.775
8.621,1006.575,115.09
8.671,1012.312,114.408
8.721,1018.016,113.729
8.771,1023.685,113.053
8.821,1029.321,112.379
8.871,1034.923,111.707
8.921,1040.492,111.037
8.971,1046.027,110.369
9.021,1051.529,109.702
9.071,1056.997,109.038
9.121,1062.433,108.377
9.171,1067.835,107.717
9.221,1073.204,107.059
9.271,1078.541,106.403
9.321,1083.845,105.75
9.371,1089.116,105.099
9.421,1094.354,104.451
9.471,1099.561,103.805
9.521,1104.735,103.162
9.571,1109.877,102.52
9.621,1114.987,101.88
9.671,1120.065,101.241
9.721,1125.111,100.604
9.771,1130.126,99.97
9.821,1135.108,99.337
9.871,1140.059,98.707
9.921,1144.979,98.078
9.971,1149.867,97.451
10.021,1154.724,96.827
10.071,1159.55,96.204
10.121,1164.345,95.583
10.171,1169.108,94.964
10.221,1173.841,94.346
10.271,1178.543,93.731
10.321,1183.214,93.117
10.371,1187.855,92.504
10.421,1192.464,91.893
10.471,1197.044,91.284
10.521,1201.593,90.676
10.571,1206.112,90.07
10.621,1210.6,89.466
10.671,1215.058,88.863
10.721,1219.486,88.262
10.771,1223.884,87.663
10.821,1228.253,87.064
10.871,1232.591,86.467
10.921,1236.899,85.871
10.971,1241.178,85.277
11.021,1245.427,84.684
11.071,1249.646,84.093
11.121,1253.836,83.503
11.171,1257.997,82.915
11.221,1262.128,82.328
11.271,1266.23,81.743
11.321,1270.302,81.16
11.371,1274.346,80.579
11.421,1278.36,79.999
11.471,1282.345,79.42
11.521,1286.302,78.844
11.571,1290.23,78.269
11.621,1294.129,77.695
11.671,1297.999,77.123
11.721,1301.841,76.551
11.771,1305.655,75.981
11.821,1309.439,75.412
11.871,1313.196,74.843
11.921,1316.924,74.274
11.971,1320.623,73.707
12.021,1324.294,73.141
12.071,1327.937,72.575
12.121,1331.552,72.009
12.171,1335.138,71.445
12.221,1338.696,70.882
