Temperature (F)	Pressure (psia)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, F/psia)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, F/psia)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
38.000	492.76	20.215	0.049469	7.4473	7.6153	32.608	40.163	103.53	534.23	0.0053142	87.985	0.097762	0.0047923	2.1365	0.46806	15.884	17.474	68.265	39.271	80.480	209.37	0.17892	15.585	0.019892
39.000	499.66	20.147	0.049635	7.4999	7.6709	32.800	40.175	104.18	530.13	0.0054877	87.327	0.097171	0.0046954	2.1721	0.46038	15.877	17.463	68.148	39.379	81.399	209.07	0.17805	15.646	0.020046
40.000	506.62	20.079	0.049803	7.5527	7.7267	32.993	40.187	104.85	526.00	0.0056657	86.670	0.096580	0.0045989	2.2084	0.45282	15.871	17.453	68.030	39.488	82.349	208.76	0.17720	15.707	0.020204
41.000	513.67	20.010	0.049974	7.6058	7.7827	33.186	40.201	105.54	521.85	0.0058486	86.013	0.095990	0.0045027	2.2453	0.44537	15.864	17.441	67.911	39.598	83.331	208.45	0.17634	15.769	0.020365
42.000	520.78	19.941	0.050148	7.6590	7.8391	33.380	40.215	106.26	517.69	0.0060365	85.358	0.095401	0.0044069	2.2830	0.43803	15.857	17.430	67.791	39.709	84.347	208.14	0.17549	15.832	0.020530
43.000	527.96	19.871	0.050325	7.7125	7.8957	33.574	40.230	107.00	513.50	0.0062295	84.703	0.094813	0.0043114	2.3213	0.43080	15.849	17.418	67.670	39.821	85.398	207.82	0.17464	15.896	0.020699
44.000	535.22	19.800	0.050504	7.7663	7.9526	33.768	40.245	107.77	509.29	0.0064281	84.049	0.094226	0.0042163	2.3603	0.42367	15.841	17.405	67.549	39.933	86.487	207.50	0.17379	15.961	0.020873
45.000	542.55	19.729	0.050687	7.8203	8.0099	33.964	40.262	108.57	505.06	0.0066323	83.395	0.093640	0.0041215	2.4001	0.41665	15.833	17.392	67.426	40.047	87.616	207.17	0.17294	16.027	0.021050
46.000	549.96	19.657	0.050872	7.8745	8.0674	34.159	40.279	109.39	500.81	0.0068424	82.742	0.093055	0.0040271	2.4406	0.40973	15.825	17.378	67.303	40.163	88.788	206.83	0.17209	16.093	0.021233
47.000	557.43	19.584	0.051061	7.9290	8.1252	34.356	40.298	110.25	496.53	0.0070587	82.089	0.092471	0.0039331	2.4819	0.40291	15.816	17.364	67.178	40.279	90.004	206.49	0.17125	16.161	0.021420
48.000	564.99	19.511	0.051253	7.9837	8.1834	34.553	40.317	111.13	492.23	0.0072815	81.437	0.091888	0.0038395	2.5240	0.39619	15.806	17.350	67.052	40.396	91.267	206.15	0.17040	16.229	0.021612
49.000	572.62	19.437	0.051449	8.0388	8.2419	34.750	40.337	112.06	487.91	0.0075110	80.784	0.091307	0.0037462	2.5670	0.38956	15.796	17.334	66.925	40.515	92.581	205.80	0.16955	16.299	0.021809
50.000	580.32	19.362	0.051648	8.0941	8.3007	34.949	40.358	113.02	483.56	0.0077477	80.131	0.090726	0.0036533	2.6108	0.38303	15.786	17.319	66.797	40.635	93.948	205.45	0.16871	16.370	0.022012
51.000	588.11	19.286	0.051851	8.1497	8.3599	35.148	40.380	114.02	479.18	0.0079917	79.478	0.090146	0.0035609	2.6555	0.37658	15.775	17.302	66.668	40.757	95.372	205.09	0.16786	16.441	0.022221
52.000	595.97	19.209	0.052058	8.2056	8.4195	35.347	40.404	115.06	474.77	0.0082435	78.825	0.089568	0.0034688	2.7011	0.37022	15.764	17.285	66.537	40.880	96.857	204.73	0.16701	16.514	0.022436
53.000	603.91	19.132	0.052268	8.2618	8.4794	35.548	40.428	116.14	470.33	0.0085036	78.171	0.088991	0.0033772	2.7477	0.36395	15.753	17.268	66.405	41.005	98.407	204.36	0.16616	16.588	0.022658
54.000	611.92	19.054	0.052483	8.3184	8.5398	35.750	40.454	117.28	465.86	0.0087721	77.516	0.088415	0.0032859	2.7952	0.35776	15.740	17.250	66.272	41.131	100.03	203.99	0.16531	16.664	0.022886
55.000	620.02	18.974	0.052703	8.3752	8.6005	35.952	40.481	118.46	461.37	0.0090497	76.861	0.087840	0.0031951	2.8438	0.35165	15.728	17.231	66.137	41.258	101.72	203.61	0.16445	16.740	0.023121
56.000	628.19	18.894	0.052927	8.4325	8.6617	36.155	40.510	119.70	456.84	0.0093368	76.204	0.087267	0.0031047	2.8934	0.34561	15.715	17.212	66.000	41.388	103.49	203.23	0.16359	16.818	0.023365
57.000	636.45	18.813	0.053155	8.4901	8.7233	36.360	40.539	121.00	452.27	0.0096339	75.547	0.086695	0.0030148	2.9441	0.33966	15.701	17.192	65.862	41.519	105.35	202.84	0.16273	16.898	0.023616
58.000	644.79	18.730	0.053389	8.5481	8.7854	36.565	40.571	122.36	447.67	0.0099416	74.887	0.086124	0.0029253	2.9960	0.33378	15.687	17.171	65.722	41.652	107.30	202.44	0.16186	16.979	0.023876
59.000	653.21	18.647	0.053628	8.6065	8.8480	36.772	40.604	123.78	443.03	0.010260	74.227	0.085555	0.0028363	3.0490	0.32797	15.672	17.149	65.580	41.787	109.35	202.04	0.16099	17.062	0.024145
60.000	661.71	18.563	0.053872	8.6652	8.9110	36.979	40.639	125.28	438.36	0.010591	73.564	0.084988	0.0027478	3.1033	0.32223	15.657	17.127	65.436	41.924	111.51	201.64	0.16011	17.146	0.024423
61.000	670.30	18.477	0.054122	8.7245	8.9746	37.188	40.675	126.86	433.64	0.010934	72.900	0.084422	0.0026597	3.1589	0.31656	15.640	17.103	65.290	42.063	113.78	201.22	0.15923	17.232	0.024713
62.000	678.97	18.390	0.054378	8.7841	9.0387	37.398	40.714	128.53	428.89	0.011290	72.233	0.083858	0.0025722	3.2159	0.31096	15.624	17.079	65.143	42.205	116.18	200.81	0.15833	17.320	0.025013
63.000	687.72	18.302	0.054640	8.8443	9.1034	37.610	40.754	130.29	424.09	0.011660	71.564	0.083296	0.0024851	3.2742	0.30542	15.606	17.054	64.992	42.348	118.71	200.38	0.15743	17.410	0.025324
64.000	696.56	18.212	0.054909	8.9049	9.1686	37.823	40.797	132.15	419.25	0.012045	70.892	0.082737	0.0023985	3.3340	0.29994	15.588	17.029	64.840	42.494	121.40	199.96	0.15652	17.502	0.025649
65.000	705.49	18.121	0.055185	8.9661	9.2345	38.038	40.842	134.12	414.36	0.012446	70.217	0.082179	0.0023125	3.3954	0.29452	15.569	17.002	64.685	42.643	124.24	199.52	0.15560	17.596	0.025987
66.000	714.51	18.028	0.055469	9.0278	9.3010	38.254	40.889	136.21	409.42	0.012864	69.539	0.081624	0.0022270	3.4584	0.28915	15.549	16.974	64.527	42.794	127.27	199.08	0.15467	17.693	0.026339
67.000	723.61	17.934	0.055760	9.0900	9.3682	38.472	40.939	138.43	404.43	0.013300	68.857	0.081072	0.0021421	3.5231	0.28384	15.529	16.945	64.367	42.949	130.49	198.63	0.15372	17.792	0.026708
68.000	732.80	17.838	0.056060	9.1529	9.4361	38.692	40.992	140.81	399.39	0.013755	68.170	0.080522	0.0020577	3.5895	0.27859	15.507	16.915	64.204	43.106	133.92	198.18	0.15276	17.893	0.027093
69.000	742.09	17.740	0.056368	9.2164	9.5048	38.913	41.047	143.34	394.29	0.014230	67.480	0.079976	0.0019739	3.6579	0.27338	15.485	16.884	64.037	43.266	137.60	197.72	0.15179	17.997	0.027496
70.000	751.46	17.641	0.056686	9.2806	9.5743	39.137	41.106	146.05	389.13	0.014728	66.785	0.079433	0.0018908	3.7283	0.26822	15.462	16.851	63.867	43.430	141.53	197.26	0.15080	18.105	0.027919
71.000	760.93	17.539	0.057015	9.3455	9.6446	39.363	41.169	148.97	383.91	0.015249	66.084	0.078895	0.0018082	3.8008	0.26310	15.437	16.818	63.694	43.597	145.77	196.78	0.14979	18.215	0.028363
72.000	770.49	17.436	0.057354	9.4111	9.7158	39.592	41.235	152.10	378.63	0.015796	65.378	0.078361	0.0017262	3.8756	0.25803	15.412	16.783	63.517	43.768	150.33	196.30	0.14876	18.329	0.028831
73.000	780.14	17.330	0.057704	9.4776	9.7880	39.823	41.305	155.49	373.28	0.016371	64.666	0.077832	0.0016450	3.9527	0.25299	15.385	16.746	63.335	43.943	155.26	195.82	0.14772	18.447	0.029324
74.000	789.89	17.221	0.058067	9.5449	9.8611	40.057	41.379	159.16	367.85	0.016975	63.946	0.077309	0.0015643	4.0325	0.24799	15.357	16.708	63.150	44.122	160.61	195.32	0.14664	18.568	0.029845
75.000	799.74	17.110	0.058444	9.6132	9.9354	40.294	41.458	163.16	362.35	0.017612	63.219	0.076793	0.0014844	4.1149	0.24302	15.328	16.668	62.959	44.306	166.43	194.82	0.14554	18.694	0.030398
76.000	809.68	16.997	0.058835	9.6824	10.011	40.534	41.542	167.52	356.77	0.018284	62.484	0.076286	0.0014052	4.2003	0.23808	15.297	16.626	62.764	44.495	172.78	194.32	0.14442	18.825	0.030984
77.000	819.72	16.880	0.059242	9.7527	10.088	40.778	41.632	172.30	351.11	0.018994	61.739	0.075788	0.0013268	4.2889	0.23316	15.265	16.583	62.563	44.689	179.76	193.80	0.14326	18.960	0.031608
